Date,Regime-aware HMM,K-Means Regime Strategy,Buy and Hold,Standalone Momentum,Standalone Mean Reversion
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0
2021-01-11,-0.006740854065642066,-0.006740854065642066,-0.006740854065641955,-0.006740854065642066,0.0
2021-01-12,-0.00653122879188528,-0.00653122879188528,-0.006531228791885169,-0.00653122879188528,0.0
2021-01-13,-0.003855626138568935,-0.003855626138568935,-0.003855626138568824,-0.003855626138568935,0.0
2021-01-14,-0.0073440211269255595,-0.0073440211269255595,-0.0073440211269253375,-0.0073440211269255595,0.0
2021-01-15,-0.014583143634498086,-0.014583143634498086,-0.014583143634497975,-0.014583143634498086,-0.0077926801043306515
2021-01-19,-0.006846096614895547,-0.006846096614895547,-0.006846096614895436,-0.006846096614895547,-2.317439396493093e-06
2021-01-20,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,-0.000500000000000056
2021-01-22,-0.003539489749368685,-0.003539489749368685,-0.003539489749368796,-0.003539489749368685,-0.000500000000000056
2021-01-25,0.0,0.0,0.0,0.0,-0.000500000000000056
2021-01-26,-0.0015607522448870537,-0.0015607522448870537,-0.0015607522448870537,-0.0015607522448870537,-0.000500000000000056
2021-01-27,-0.025963272645277202,-0.025963272645277202,-0.02596327264527709,-0.025963272645277202,-0.000500000000000056
2021-01-28,-0.017586328762085213,-0.017586328762085213,-0.017586328762085213,-0.017586328762085213,0.0
2021-01-29,-0.037253717372252915,-0.037253717372252915,-0.037253717372253026,-0.037253717372252915,-0.02001945736909938
2021-02-01,-0.037735090513566716,-0.037735090513566716,-0.021228311419749235,-0.037735090513566716,-0.003707178314278581
2021-02-02,-0.02460958664252,-0.02460958664252,-0.007388265626539936,-0.02460958664252,0.0
2021-02-03,-0.02384245634895099,-0.02384245634895099,-0.006607591015879266,-0.02384245634895099,0.0
2021-02-04,-0.012747895235198703,-0.012747895235198703,0.0,-0.012747895235198703,-0.0004999999999998339
2021-02-05,-0.00886229733355881,-0.00886229733355881,0.0,-0.00886229733355881,-0.0004999999999998339
2021-02-08,-0.0017042023853955923,-0.0017042023853955923,0.0,-0.0017042023853955923,-0.0004999999999998339
2021-02-09,-0.0023690933346181,-0.0023690933346181,-0.000666025992307473,-0.0023690933346181,-0.0004999999999998339
2021-02-10,-0.002803694350834829,-0.002803694350834829,-0.0011013689209817823,-0.002803694350834829,-0.0004999999999998339
2021-02-11,-0.001193005663659652,-0.001193005663659652,0.0,-0.001193005663659652,-0.0004999999999998339
2021-02-12,0.0,0.0,0.0,0.0,-0.0004999999999998339
2021-02-16,-0.0008659626420445266,-0.0008659626420445266,-0.0008659626420446376,-0.0008659626420445266,-0.0004999999999998339
2021-02-17,-0.0006366144567669929,-0.0006366144567669929,-0.000636614456767215,-0.0006366144567669929,-0.0004999999999998339
2021-02-18,-0.004889950441756108,-0.004889950441756108,-0.004889950441756219,-0.004889950441756108,-0.0004999999999998339
2021-02-19,-0.006647340304115401,-0.006647340304115401,-0.006647340304115623,-0.006647340304115401,-0.0004999999999998339
2021-02-22,-0.01428788265120895,-0.01428788265120895,-0.01428788265120906,-0.01428788265120895,-0.00868757566934275
2021-02-23,-0.013090797001224952,-0.013090797001224952,-0.013090797001225063,-0.013090797001224952,-0.007483688797170651
2021-02-24,-0.002215752271231608,-0.002215752271231608,-0.002215752271231941,-0.002215752271231608,0.0
